Rmax,Rmin,D,C,H3nr,H3r,H1nr,H1r,YAMnr,YAMr,VICnr,VICr
(air),(air),(air),(air),0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.95
1.25,0.5,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.5,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.25,0.75,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.5,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,1,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,2,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,4,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,6,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.5,0.75,8,A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,2,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,4,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,6,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.5,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,2,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,4,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,6,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.25,0.75,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,1,S,0.00,0.00,0.20,0.02,0.00,0.00,0.00,0.00
1.5,0.5,2,S,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.5,0.5,4,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,6,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.5,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,1,S,0.00,0.00,0.32,0.15,0.00,0.01,0.01,0.00
1.5,0.75,2,S,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.5,0.75,4,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,6,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5,0.75,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,1,S,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
1.75,0.5,2,S,0.00,0.00,0.01,0.01,0.01,0.02,0.04,0.00
1.75,0.5,4,S,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
1.75,0.5,6,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.5,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,1,S,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
1.75,0.75,2,S,0.00,0.00,0.03,0.02,0.09,0.09,0.00,0.00
1.75,0.75,4,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,6,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.75,0.75,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.5,2,S,0.00,0.00,0.00,0.00,0.03,0.09,0.06,0.00
2,0.5,4,S,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00
2,0.5,6,S,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00
2,0.5,8,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,1,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.75,2,S,0.00,0.00,0.03,0.02,0.73,0.46,0.77,0.00
2,0.75,4,S,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00
2,0.75,6,S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
